smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
CC(=O)NCCNc1cccc2ccccc12,228.3,2.388,2,2,True,infection
NCCNCCNCCN,146.24,-1.917,4,4,True,infection
NCCCNCCCCNCCCN,202.35,-0.357,4,4,True,infection
NCCCCNCCCN,145.25,-0.336,3,3,True,infection
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,228.25,2.974,3,3,True,infection
CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,301.39,2.957,4,4,True,infection
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,368.39,3.37,2,6,True,infection
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,290.27,1.546,5,6,True,infection
O=C(O)/C=C/c1ccccc1O,164.16,1.49,2,2,True,infection
CC(C)(C)C(=O)Nc1ccc(S(N)(=O)=O)cc1,256.33,1.319,2,3,True,infection
CCC(CC)C(=O)Nc1ccc(S(N)(=O)=O)cc1,270.35,1.709,2,3,True,infection
CC(C)C(C(=O)Nc1ccc(S(N)(=O)=O)cc1)C(C)C,298.41,2.201,2,3,True,infection
CCCC(C)C(=O)Nc1ccc(S(N)(=O)=O)cc1,270.35,1.709,2,3,True,infection
CCCC(C(=O)Nc1ccc(S(N)(=O)=O)cc1)C(C)C,298.41,2.345,2,3,True,infection
CCC(C)C(C(=O)Nc1ccc(S(N)(=O)=O)cc1)C(C)C,312.44,2.591,2,3,True,infection
CCCC(C(=O)Nc1ccc(S(N)(=O)=O)cc1)C(C)CC,312.44,2.735,2,3,True,infection
CCC(CC(C)C)C(=O)Nc1ccc(S(N)(=O)=O)cc1,298.41,2.345,2,3,True,infection
CCC(C)CC(=O)Nc1ccc(S(N)(=O)=O)cc1,270.35,1.709,2,3,True,infection
CCCCC(CC)C(=O)Nc1ccc(S(N)(=O)=O)cc1,298.41,2.489,2,3,True,infection
CCC(CC)C(=O)NCc1ccc(S(N)(=O)=O)cc1,284.38,1.386,2,3,True,infection
NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2)cc1,290.34,1.515,2,3,True,infection
CCC(C)C(=O)Nc1ccc(S(N)(=O)=O)cc1,256.33,1.319,2,3,True,infection
CCC(C(=O)Nc1ccc(S(N)(=O)=O)cc1)C(C)(C)C,298.41,2.345,2,3,True,infection
CC(C)C(C(=O)Nc1ccc(S(N)(=O)=O)cc1)C(C)(C)C,312.44,2.591,2,3,True,infection
CC(C)(C)CC(=O)Nc1ccc(S(N)(=O)=O)cc1,270.35,1.709,2,3,True,infection
CCCC(CC)C(=O)Nc1ccc(S(N)(=O)=O)cc1,284.38,2.099,2,3,True,infection
CCC(C)C(CC)C(=O)Nc1ccc(S(N)(=O)=O)cc1,298.41,2.345,2,3,True,infection
CCCC(C(=O)Nc1ccc(S(N)(=O)=O)cc1)C(C)(C)C,312.44,2.735,2,3,True,infection
CC(C)(C)C(=O)NCc1ccc(S(N)(=O)=O)cc1,270.35,0.996,2,3,True,infection
CCC(CC)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,298.41,1.429,2,3,True,infection
NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,320.16,1.569,2,6,True,infection
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(Cl)n2)cc1,334.19,1.438,2,6,True,infection
NS(=O)(=O)c1ccc(CCNc2nc(Cl)nc(Cl)n2)cc1,348.21,1.48,2,6,True,infection
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(NCC(=O)O)n2)cc1,372.79,0.281,4,8,True,infection
COC(=O)CNc1nc(Cl)nc(Nc2ccc(S(N)(=O)=O)cc2)n1,372.79,0.501,3,9,True,infection
CC(Nc1nc(Cl)nc(Nc2ccc(S(N)(=O)=O)cc2)n1)C(=O)O,372.79,0.801,4,8,True,infection
NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(NC(CO)C(=O)O)n2)cc1,388.79,-0.227,5,9,True,infection
NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(NCCO)n2)cc1,344.78,0.32,4,8,True,infection
